name,static_instructions_case_big-arr_O0,dynamic_instructions_case_big-arr_O0
extr_linuxdriversvfiovfio_iommu_spapr_tce.c_tce_iommu_find_table.c,13,13
extr_linuxdriversvhostnet.c_vhost_net_buf_is_empty.c,12,12
extr_linuxdriversvhostscsi.c_vhost_scsi_to_tcm_attr.c,15,15
extr_linuxdriversvhostscsi.c_vhost_scsi_write_pending_status.c,6,6
extr_linuxdriversvhostvhost.c_vhost_dev_has_owner.c,7,7
extr_linuxdriversvhostvhost.c_vhost_discard_vq_desc.c,11,11
extr_linuxdriversvfioplatformvfio_amba.c_get_amba_irq.c,19,19
extr_linuxdriversvhostscsi.c_vhost_scsi_aborted_task.c,5,5
extr_linuxdriversvfiopcivfio_pci.c_vfio_pci_is_vga.c,12,12
extr_linuxdriversvfiovfio.c_vfio_device_data.c,7,7
extr_linuxdriversvhostnet.c_vhost_net_tx_packet.c,13,13
extr_linuxdriversvhostscsi.c_vhost_scsi_check_true.c,6,6
extr_linuxdriversvhostnet.c_vhost_net_buf_init.c,9,9
extr_linuxdriversvhostnet.c_vhost_exceeds_weight.c,14,14
extr_linuxdriversvfiovfio_iommu_spapr_tce.c_tce_iommu_find_free_table.c,13,13
extr_linuxdriversvhostscsi.c_vhost_scsi_queue_tm_rsp.c,5,5
extr_linuxdriversvhostscsi.c_vhost_scsi_tpg_get_inst_index.c,6,6
extr_linuxdriversvhostscsi.c_vhost_scsi_set_default_node_attrs.c,5,5
extr_linuxdriversvhostvhost.c___vhost_vq_meta_reset.c,9,9
extr_linuxdriversvhostvhost.c_vhost_disable_cross_endian.c,5,5
extr_linuxdriversvhostvringh.c_vringh_abandon_user.c,11,11
extr_linuxdriversvideobacklightjornada720_lcd.c_jornada_lcd_set_power.c,18,18
extr_linuxdriversvideobacklightili922x.c_ili922x_reg_dump.c,5,5
extr_linuxdriversvideobacklightgeneric_bl.c_genericbl_get_intensity.c,6,6
extr_linuxdriversvideobacklightbacklight.c_backlight_register_fb.c,6,6
extr_linuxdriversvideobacklightaat2870_bl.c_aat2870_brightness.c,22,22
extr_linuxdriversvideobacklightld9040.c_ld9040_power_is_on.c,10,10
extr_linuxdriversvideobacklightlcd.c_lcd_register_fb.c,6,6
extr_linuxdriversvideobacklightlp855x_bl.c_lp855x_is_valid_rom_area.c,16,16
extr_linuxdriversvideobacklightlms501kf03.c_lms501kf03_power_is_on.c,10,10
extr_linuxdriversvideobacklightpm8941-wled.c_pm8941_wled_num_strings_values_fn.c,7,7
extr_linuxdriversvideobacklightpwm_bl.c_pwm_backlight_brightness_default.c,9,9
extr_linuxdriversvideobacklights6e63m0.c_s6e63m0_power_is_on.c,10,10
extr_linuxdriversvideobacklightaat2870_bl.c_aat2870_bl_check_fb.c,7,7
extr_linuxdriversvideobacklightjornada720_lcd.c_jornada_lcd_get_power.c,12,12
extr_linuxdriversvideobacklighthp680_bl.c_hp680bl_get_intensity.c,6,6
extr_linuxdriversvideoconsoledummycon.c_dummycon_blank.c,8,8
extr_linuxdriversvideobacklightbacklight.c_backlight_unregister_fb.c,5,5
extr_linuxdriversvhostvringh.c_vringh_abandon_kern.c,11,11
extr_linuxdriversvideobacklightkb3886_bl.c_kb3886bl_get_intensity.c,6,6
extr_linuxdriversvideobacklightams369fg06.c_ams369fg06_power_is_on.c,10,10
extr_linuxdriversvideobacklightlm3533_bl.c_lm3533_bl_get_ctrlbank_id.c,7,7
extr_linuxdriversvideobacklightlcd.c_lcd_unregister_fb.c,5,5
extr_linuxdriversvideobacklightlocomolcd.c_locomolcd_get_intensity.c,6,6
extr_linuxdriversvideobacklightlp855x_bl.c_lp855x_parse_dt.c,7,7
extr_linuxdriversvideobacklightpm8941-wled.c_pm8941_wled_switch_freq_values_fn.c,11,11
extr_linuxdriversvideobacklightpwm_bl.c_pwm_backlight_parse_dt.c,8,8
extr_linuxdriversvideobacklighttosa_bl.c_tosa_bl_get_brightness.c,9,9
extr_linuxdriversvideoconsoledummycon.c_dummycon_font_set.c,8,8
extr_linuxdriversvideoconsoledummycon.c_dummycon_cursor.c,6,6
extr_linuxdriversvideoconsoledummycon.c_dummycon_clear.c,9,9
extr_linuxdriversvideoconsoledummycon.c_dummycon_font_copy.c,7,7
extr_linuxdriversvideoconsolemdacon.c_mdacon_deinit.c,8,8
extr_linuxdriversvideoconsolenewport_con.c_newport_save_screen.c,5,5
extr_linuxdriversvideoconsoledummycon.c_dummycon_scroll.c,10,10
extr_linuxdriversvideoconsolemdacon.c_mda_convert_attr.c,25,25
extr_linuxdriversvideoconsolesticon.c_sticon_build_attr.c,29,29
extr_linuxdriversvideoconsolesticon.c_sticon_set_origin.c,6,6
extr_linuxdriversvideoconsolesticon.c_sticon_getxy.c,33,33
extr_linuxdriversvideoconsolevgacon.c_vgacon_build_attr.c,45,45
extr_linuxdriversvideoconsolevgacon.c_vgacon_flush_scrollback.c,5,5
extr_linuxdriversvideofbdev68328fb.c_get_line_length.c,17,17
extr_linuxdriversvideoconsoledummycon.c_dummycon_deinit.c,5,5
extr_linuxdriversvideofbdevacornfb.c_acornfb_adjust_timing.c,114,143720
extr_linuxdriversvideofbdev68328fb.c_mc68x328fb_pan_display.c,46,46
extr_linuxdriversvideoconsoledummycon.c_dummycon_putc.c,8,8
extr_linuxdriversvideofbdevacornfb.c_acornfb_validate_timing.c,45,45
extr_linuxdriversvideoconsoledummycon.c_dummycon_font_default.c,8,8
extr_linuxdriversvideoconsolenewport_con.c_newport_set_origin.c,6,6
extr_linuxdriversvideoconsolemdacon.c_mdacon_switch.c,6,6
extr_linuxdriversvideoconsoledummycon.c_dummycon_switch.c,6,6
extr_linuxdriversvideoconsolesticon.c_sticon_deinit.c,5,5
extr_linuxdriversvideoconsolemdacon.c_mdacon_build_attr.c,33,33
extr_linuxdriversvideoconsolesticon.c_sticon_switch.c,6,6
extr_linuxdriversvideoconsolevgacon.c_vgacon_clear.c,9,9
extr_linuxdriversvideoconsolesticon.c_sticon_save_screen.c,5,5
extr_linuxdriversvideoconsolevgacon.c_vgacon_putc.c,8,8
extr_linuxdriversvideofbdev68328fb.c_mc68x328fb_mmap.c,15,15
extr_linuxdriversvideofbdev68328fb.c_mc68x328fb_setcolreg.c,40,40
extr_linuxdriversvideofbdevacornfb.c_acornfb_update_dma.c,11,11
extr_linuxdriversvideofbdevamba-clcd-nomadik.h_nomadik_clcd_init_board.c,7,7
extr_linuxdriversvideofbdevamba-clcd-nomadik.h_nomadik_clcd_init_panel.c,7,7
extr_linuxdriversvideofbdevamifb.c_ami_set_cursorstate.c,21,21
extr_linuxdriversvideofbdevatafb.c_ext_get_par.c,8,8
extr_linuxdriversvideofbdevatafb.c_falcon_blank.c,11,11
extr_linuxdriversvideofbdevatafb.c_hxx_prescale.c,12,12
extr_linuxdriversvideofbdevatafb.c_tt_decode_var.c,100,100
extr_linuxdriversvideofbdevatyaty128fb.c_depth_to_dst.c,23,23
extr_linuxdriversvideofbdevatafb_utils.h_fill16_col.c,21,3325
extr_linuxdriversvideofbdevaty..corefb_draw.h_fb_rev_pixels_in_long.c,7,7
extr_linuxdriversvideofbdevatmel_lcdfb.c_exit_backlight.c,5,5
extr_linuxdriversvideofbdevatymach64_accel.c_rotation24bpp.c,22,22
extr_linuxdriversvideofbdevatyradeon_monitor.c_radeon_fixup_panel_info.c,5,5
extr_linuxdriversvideofbdevatyradeon_pm.c_radeon_apply_workarounds.c,6,6
extr_linuxdriversvideofbdevatyradeonfb.h_radeon_get_dstbpp.c,13,13
extr_linuxdriversvideofbdevamba-clcd-versatile.h_versatile_clcd_init_panel.c,7,7
extr_linuxdriversvideofbdevatafb.c_atafb_ioctl.c,9,9
extr_linuxdriversvideofbdevatafb.c_falcon_vbl_switcher.c,13,13
extr_linuxdriversvideofbdevatyradeonfb.h_radeonfb_bl_init.c,5,5
extr_linuxdriversvideofbdevatafb.c_ext_set_par.c,5,5
extr_linuxdriversvideofbdevatafb.c_stste_decode_var.c,37,37
extr_linuxdriversvideofbdevatyatyfb_base.c_atyfb_get_pixclock.c,10,10
extr_linuxdriversvideofbdevatafb_utils.h_fill8_col.c,17,17
extr_linuxdriversvideofbdevaty..corefb_draw.h_comp.c,11,11
extr_linuxdriversvideofbdevatafb.c_tt_setcolreg.c,22,22
extr_linuxdriversvideofbdevatyradeon_pm.c_radeonfb_pm_exit.c,5,5
extr_linuxdriversvideofbdevatyradeonfb.h_radeonfb_bl_exit.c,5,5
extr_linuxdriversvideofbdevau1200fb.c_winbpp.c,15,15
extr_linuxdriversvideofbdevc2p_core.h_comp.c,11,11
extr_linuxdriversvideofbdevatyradeon_monitor.c_radeon_var_to_panel_info.c,77,77
extr_linuxdriversvideofbdevchipsfb.c_chipsfb_check_var.c,29,29
extr_linuxdriversvideofbdevatyradeonfb.h_round_div.c,17,17
extr_linuxdriversvideofbdevbt431.h_bt431_set_value.c,11,11
extr_linuxdriversvideofbdevcirrusfb.c_WSFR2.c,7,7
extr_linuxdriversvideofbdevclps711x-fb.c_clps711x_fb_blank.c,7,7
extr_linuxdriversvideofbdevcorefb_draw.h_fb_rev_pixels_in_long.c,7,7
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_rotate.c,6,6
extr_linuxdriversvideofbdevcorefbcmap.c_fb_default_cmap.c,14,14
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_getxy.c,33,33
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_update_softback.c,13,13
extr_linuxdriversvideofbdevchipsfb.c_chipsfb_blank.c,7,7
extr_linuxdriversvideofbdevbt431.h_bt431_get_value.c,7,7
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_select_primary.c,5,5
extr_linuxdriversvideofbdevcorefbcon_ccw.c_fbcon_rotate_ccw.c,23,23
extr_linuxdriversvideofbdevcorefbcon_cw.c_fbcon_rotate_cw.c,23,23
extr_linuxdriversvideofbdevcorefbcon_ud.c_fbcon_rotate_ud.c,23,23
extr_linuxdriversvideofbdevcirrusfb.c_WSFR.c,7,7
extr_linuxdriversvideofbdevcontrolfb.c_set_control_clock.c,5,5
extr_linuxdriversvideofbdevcorefb_draw.h_comp.c,11,11
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_rotate_all.c,6,6
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_get_rotate.c,15,15
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_invalid_charcount.c,7,7
extr_linuxdriversvideofbdevcirrusfb.c_switch_monitor.c,6,6
extr_linuxdriversvideofbdevcorefbcon.h_real_y.c,21,21
extr_linuxdriversvideofbdevcorefbcvt.c_fb_cvt_hperiod.c,44,44
extr_linuxdriversvideofbdevcorefbcon_cw.c_cw_update_attr.c,30,30
extr_linuxdriversvideofbdevcorefbcvt.c_fb_cvt_pixclock.c,26,26
extr_linuxdriversvideofbdevcorefbcon_rotate.h_pattern_set_bit.c,34,34
extr_linuxdriversvideofbdevcorefbmem.c_fb_prepare_logo.c,7,7
extr_linuxdriversvideofbdevcorefbmon.c_fb_destroy_modedb.c,5,5
extr_linuxdriversvideofbdevcorefbcon.c_fbcon_set_rotation.c,11,11
extr_linuxdriversvideofbdevcorefbmem.c_apertures_overlap.c,14,14
extr_linuxdriversvideofbdevcorefbmon.c_fb_edid_to_monspecs.c,6,6
extr_linuxdriversvideofbdevcorefbsysfs.c_show_console.c,8,8
extr_linuxdriversvideofbdevcorefbcon_ud.c_ud_update_attr.c,55,33403
extr_linuxdriversvideofbdevcorefbmon.c_fb_parse_edid.c,7,7
extr_linuxdriversvideofbdevcyber2000fb.c_cyber2000fb_detach.c,5,5
extr_linuxdriversvideofbdevcoresvgalib.c_abs_diff.c,13,13
extr_linuxdriversvideofbdevcoresvgalib.c_svga_get_tilemax.c,6,6
extr_linuxdriversvideofbdevefifb.c_efifb_show_boot_graphics.c,5,5
extr_linuxdriversvideofbdevcorefbcvt.c_fb_cvt_hsync.c,23,23
extr_linuxdriversvideofbdevcorefbcvt.c_fb_cvt_vbi_lines.c,28,28
extr_linuxdriversvideofbdevfb-puv3.c_unifb_setcolreg.c,40,40
extr_linuxdriversvideofbdevcorefbmem.c_fb_get_color_depth.c,41,41
extr_linuxdriversvideofbdevffb.c_ffb_setcolreg.c,15,15
extr_linuxdriversvideofbdevcorefbmem.c_fb_show_logo.c,7,7
extr_linuxdriversvideofbdevfb-puv3.c_get_line_length.c,17,17
extr_linuxdriversvideofbdevcorefbmon.c_fb_get_mode.c,10,10
extr_linuxdriversvideofbdevcorefbsysfs.c_show_cursor.c,8,8
extr_linuxdriversvideofbdevcorefbmon.c_fb_edid_add_monspecs.c,6,6
extr_linuxdriversvideofbdevcorefbsysfs.c_show_blank.c,8,8
extr_linuxdriversvideofbdevcoresvgalib.c_svga_get_caps.c,22,22
extr_linuxdriversvideofbdevefifb.c_efifb_setcolreg.c,18,18
extr_linuxdriversvideofbdevcoretileblit.c_tile_clear_margins.c,8,8
extr_linuxdriversvideofbdevgeodedisplay_gx.c_gx_line_delta.c,12,12
extr_linuxdriversvideofbdevffb.c_ffb_fixup_var_rgb.c,21,21
extr_linuxdriversvideofbdevgeodelxfb.h_lx_get_pitch.c,12,12
extr_linuxdriversvideofbdevfm2fb.c_fm2fb_setcolreg.c,13,13
extr_linuxdriversvideofbdevgxt4500.c_calc_pixclock.c,16,16
extr_linuxdriversvideofbdevhgafb.c_hgafb_setcolreg.c,15,15
extr_linuxdriversvideofbdevhyperv_fb.c_hvfb_blank.c,7,7
extr_linuxdriversvideofbdevhyperv_fb.c_hvfb_pci_stub_remove.c,5,5
extr_linuxdriversvideofbdevi810i810_dvt.c_round_off_xres.c,11,11
extr_linuxdriversvideofbdevfb-puv3.c_unifb_pan_display.c,46,46
extr_linuxdriversvideofbdevi810i810_gtf.c_round_off_xres.c,5,5
extr_linuxdriversvideofbdevg364fb.c_g364fb_pan_display.c,14,14
extr_linuxdriversvideofbdevi810i810_main.c_i810_init_monspecs.c,41,41
extr_linuxdriversvideofbdevi810i810_main.c_get_line_length.c,18,18
extr_linuxdriversvideofbdevi810i810_main.h_i810_create_i2c_busses.c,5,5
extr_linuxdriversvideofbdevi810i810_main.h_i810_probe_i2c_connector.c,8,8
extr_linuxdriversvideofbdevimxfb.c_is_imx1_fb.c,11,11
extr_linuxdriversvideofbdevhgafb.c_hga_show_logo.c,5,5
extr_linuxdriversvideofbdevgeodegx1fb_core.c_gx1_line_delta.c,16,16
extr_linuxdriversvideofbdevgoldfishfb.c_goldfish_fb_check_var.c,41,41
extr_linuxdriversvideofbdevimsttfb.c_imsttfb_check_var.c,23,23
extr_linuxdriversvideofbdevhitfb.c_hitfb_check_var.c,61,61
extr_linuxdriversvideofbdevintelfbintelfbhw.c_intelfbhw_print_hw_state.c,6,6
extr_linuxdriversvideofbdevi810i810_dvt.c_i810_get_watermark.c,22,22
extr_linuxdriversvideofbdevi810i810_gtf.c_i810fb_fill_var_timings.c,5,5
extr_linuxdriversvideofbdevi810i810_gtf.c_round_off_yres.c,6,6
extr_linuxdriversvideofbdevhyperv_fb.c_hvfb_check_var.c,15,15
extr_linuxdriversvideofbdevkyroSTG4000OverlayDevice.c_Overlap.c,24,4066
extr_linuxdriversvideofbdevi810i810_main.c_set_color_bitfields.c,20,20
extr_linuxdriversvideofbdevi810i810_main.c_i810_calc_dclk.c,115,58065
extr_linuxdriversvideofbdevi810i810_main.h_i810_delete_i2c_busses.c,5,5
extr_linuxdriversvideofbdevimsttfb.c_getclkMHz.c,33,33
extr_linuxdriversvideofbdevintelfbintelfbhw.c_get_ring_space.c,24,24
extr_linuxdriversvideofbdevleo.c_leo_fixup_var_rgb.c,21,21
extr_linuxdriversvideofbdevmatroxg450_pll.c_updatehwstate_clk.c,10,10
extr_linuxdriversvideofbdevmatroxg450_pll.c_g450_vco2f.c,15,15
extr_linuxdriversvideofbdevjz4740_fb.c_jzfb_get_controller_bpp.c,24,24
extr_linuxdriversvideofbdevimsttfb.c_setclkMHz.c,59,1551
extr_linuxdriversvideofbdevmatroxmatroxfb_crtc2.c_matroxfb_dh_blank.c,12,12
extr_linuxdriversvideofbdevmatroxmatroxfb_g450.c_get_ctrl_id.c,13,13
extr_linuxdriversvideofbdevmatroxmatroxfb_maven.c_get_ctrl_id.c,13,13
extr_linuxdriversvideofbdevmatroxmatroxfb_accel.c_matrox_cfb8_pal.c,16,168
extr_linuxdriversvideofbdevmatroxmatroxfb_g450.h_matroxfb_g450_connect.c,5,5
extr_linuxdriversvideofbdevkyrofbdev.c_get_line_length.c,12,12
extr_linuxdriversvideofbdevmatroxmatroxfb_misc.c_default_pins3.c,19,19
extr_linuxdriversvideofbdevmatroxmatroxfb_misc.c_default_pins1.c,13,13
extr_linuxdriversvideofbdevmatroxmatroxfb_misc.c_default_pins5.c,45,45
extr_linuxdriversvideofbdevmb862xxmb862xxfbdrv.c_hsp.c,10,10
extr_linuxdriversvideofbdevmatroxg450_pll.c_g450_f2vco.c,15,15
extr_linuxdriversvideofbdevmb862xxmb862xxfbdrv.c_d_pitch.c,12,12
extr_linuxdriversvideofbdevmatroxg450_pll.c_pll_freq_delta.c,13,13
extr_linuxdriversvideofbdevmatroxmatroxfb_accel.c_matrox_cfb4_pal.c,16,168
extr_linuxdriversvideofbdevmetronomefb.c_calc_cksum.c,14,14
extr_linuxdriversvideofbdevmatroxmatroxfb_base.h_vaddr_add.c,10,10
extr_linuxdriversvideofbdevmb862xxmb862xxfbdrv.c_vsp.c,10,10
extr_linuxdriversvideofbdevmatroxmatroxfb_g450.h_matroxfb_g450_shutdown.c,5,5
extr_linuxdriversvideofbdevmatroxmatroxfb_g450.c_matroxfb_g450_verify_mode.c,14,14
extr_linuxdriversvideofbdevmatroxmatroxfb_maven.c_maven_out_verify_mode.c,14,14
extr_linuxdriversvideofbdevmatroxmatroxfb_crtc2.c_matroxfb_dh_decode_var.c,24,24
extr_linuxdriversvideofbdevmatroxmatroxfb_misc.c_default_pins2.c,15,15
extr_linuxdriversvideofbdevmmpcore.c_path_check_status.c,12,12
extr_linuxdriversvideofbdevmb862xxmb862xx-i2c.c_mb862xx_func.c,6,6
extr_linuxdriversvideofbdevmatroxmatroxfb_misc.c_default_pins4.c,21,21
extr_linuxdriversvideofbdevmb862xxmb862xxfbdrv.c_v_total.c,13,13
extr_linuxdriversvideofbdevmmpfbmmpfb.c_pixfmt_to_var.c,12,12
extr_linuxdriversvideofbdevmmphwmmp_ctrl.h_overlay_is_vid.c,8,8
extr_linuxdriversvideofbdevnuc900fb.c_nuc900fb_blank.c,7,7
extr_linuxdriversvideofbdevmmpfbmmpfb.c_var_to_pixfmt.c,47,47
extr_linuxdriversvideofbdevmb862xxmb862xxfbdrv.c_h_total.c,13,13
extr_linuxdriversvideofbdevmetronomefb.c_calc_img_cksum.c,22,3584
extr_linuxdriversvideofbdevnvidianv_hw.c_CalcVClock.c,30,84
extr_linuxdriversvideofbdevnuc900fb.c_nuc900fb_cpufreq_register.c,6,6
extr_linuxdriversvideofbdevmbxmbxfb.c_mbxfb_setcolreg.c,15,15
extr_linuxdriversvideofbdevnvidianv_proto.h_nvidia_bl_exit.c,5,5
extr_linuxdriversvideofbdevnvidianv_setup.c_NVSelectHeadRegisters.c,29,29
extr_linuxdriversvideofbdevnvidianvidia.c_nvidia_panel_tweak.c,15,15
extr_linuxdriversvideofbdevmmpfbmmpfb.c_mmpfb_check_var.c,39,39
extr_linuxdriversvideofbdevomap2omapfbdisplayspanel-dsi-cm.c_dsicm_bl_get_intensity.c,11,11
extr_linuxdriversvideofbdevmmpfbmmpfb.c_to_rgb.c,22,22
extr_linuxdriversvideofbdevomap2omapfbdssdispc.c_calc_core_clk_34xx.c,34,34
extr_linuxdriversvideofbdevmx3fb.c_bpp_to_pixfmt.c,20,20
extr_linuxdriversvideofbdevmmphwmmp_ctrl.c_overlay_set_fetch.c,9,9
extr_linuxdriversvideofbdevomap2omapfbdisplayspanel-sony-acx565akm.c_get_cabc_mode.c,7,7
extr_linuxdriversvideofbdevnuc900fb.c_nuc900fb_cpufreq_deregister.c,5,5
extr_linuxdriversvideofbdevomap2omapfbdssdispc.c_dispc_set_tv_pclk.c,7,7
extr_linuxdriversvideofbdevnvidianv_hw.c_CalcVClock2Stage.c,28,108
extr_linuxdriversvideofbdevnuc900fb.c_nuc900fb_cpufreq_transition.c,8,8
extr_linuxdriversvideofbdevomap2omapfbdssdsi.c__dsi_unregister_isr.c,31,4352
extr_linuxdriversvideofbdevomap2omapfbdssdsi.c_dsi_perf_mark_start.c,5,5
extr_linuxdriversvideofbdevnvidianv_proto.h_nvidia_bl_init.c,5,5
extr_linuxdriversvideofbdevomap2omapfbdssdispc.c_calc_core_clk_24xx.c,17,17
extr_linuxdriversvideofbdevomap2omapfbdssdispc.c_dispc_calc_clock_rates.c,20,20
extr_linuxdriversvideofbdevomap2omapfbdssdss.h_sdi_uninit_port.c,5,5
extr_linuxdriversvideofbdevomap2omapfbdssdss.h_dpi_init_port.c,7,7
extr_linuxdriversvideofbdevomap2omapfbdsshdmi_common.c_hdmi_compute_acr.c,47,47
extr_linuxdriversvideofbdevnvidianvidia.c_nvidia_get_arch.c,130,130
extr_linuxdriversvideofbdevomap2omapfbdisplayspanel-dsi-cm.c_dsicm_get_resolution.c,15,15
extr_linuxdriversvideofbdevomap2omapfbdssdsi.c_dsi_perf_mark_setup.c,5,5
extr_linuxdriversvideofbdevomap2omapfbdisplaysencoder-tfp410.c_tfp410_fix_timings.c,14,14
extr_linuxdriversvideofbdevomap2omapfbdsshdmi4.c_hdmi_set_hdmi_mode.c,14,14
extr_linuxdriversvideofbdevomap2omapfbdssdisplay.c_omapdss_default_get_resolution.c,15,15
extr_linuxdriversvideofbdevomap2omapfbdssrfbi.c_rfbi_set_pixel_size.c,8,8
extr_linuxdriversvideofbdevomap2omapfbdsssdi.c_sdi_set_datapairs.c,8,8
extr_linuxdriversvideofbdevomap2omapfbdssdss.c_dss_dpi_select_source_omap2_omap3.c,11,11
extr_linuxdriversvideofbdevomap2omapfbdsshdmi.h_hdmi_mode_has_audio.c,12,12
extr_linuxdriversvideofbdevomap2omapfbdssdss.h_dpi_uninit_port.c,5,5
extr_linuxdriversvideofbdevomap2omapfbomapfb-main.c_check_fb_res_bounds.c,26,26
extr_linuxdriversvideofbdevomap2omapfbomapfb-ioctl.c_get_mem_idx.c,14,14
extr_linuxdriversvideofbdevomaplcd_mipid.c_mipid_get_caps.c,6,6
