name,static_instructions_case_int-bounds_O0,dynamic_instructions_case_int-bounds_O0
extr_opensslcryptomem.c_CRYPTO_set_mem_debug.c,10,10
extr_linuxsoundsoctegrategra20_das.c_tegra20_das_remove.c,12,12
extr_linuxdriversgpudrmnouveaunvkmsubdevpciagp.h_nvkm_agp_preinit.c,5,5
extr_linuxdriversgpudrmmsmhdmihdmi_bridge.c_msm_hdmi_bridge_destroy.c,5,5
extr_linuxdriversofof_private.h___of_add_property_sysfs.c,7,7
extr_linuxdriversataahci.c_ahci_gtf_filter_workaround.c,5,5
extr_radare2librcorepanels.c_cursorThreshold.c,17,17
extr_linuxdriversgpudrmmsmdsidsi.xml.h_DSI_TOTAL_H_TOTAL.c,9,9
extr_linuxarchpowerpcplatformspowernv........driverspcipci.h_pci_remove_legacy_files.c,5,5
extr_reactosdllwin32gdiplusgdiplus_private.h_deg2rad.c,9,9
extr_linuxdriversmediaplatformdavincivpif_display.c_vpif_config_addr.c,23,23
extr_php-srcextpdo_ocioci_statement.c_oci_blob_seek.c,17,17
extr_linuxdriverssocfsldpioqbman-portal.c_qbman_eq_desc_set_no_orp.c,21,21
extr_libgit2srcindex.c_index_entry_adjust_namemask.c,18,18
extr_linuxdriversgpudrmamdamdgpuamdgpu_amdkfd_gfx_v8.c_get_amdgpu_device.c,6,6
extr_linuxdriversregulatorcore.c_rdev_get_drvdata.c,7,7
extr_linuxfsocfs2ocfs2.h_ocfs2_align_bytes_to_sectors.c,9,9
extr_linuxdriversnetethernetamdau1000_eth.c_au1000_update_tx_stats.c,13,13
extr_darwin-xnuosfmkvmvm_map.c_vm_map_set_page_shift.c,13,13
extr_linuxdriversnetethernetsuncassini.c_cas_entropy_reset.c,5,5
extr_linuxdriversnetethernetmellanoxmlxswi2c.h_mlxsw_i2c_driver_unregister.c,5,5
extr_linuxtoolsperfpmu-eventsjsmn.c_jsmn_fill_token.c,19,19
extr_ccvlib3rdpartysqlite3sqlite3.c_countLookasideSlots.c,16,18
extr_linuxdriversnetwirelessmarvelllibertasmesh.c_lbs_mesh_get_channel.c,14,14
extr_linuxarchumdrivershostaudio_kern.c_hostaudio_poll.c,8,8
extr_linuxdriversgpudrmamdamdgpuamdgpu_amdkfd_gfx_v9.c_kgd_address_watch_get_offset.c,8,8
extr_linuxdriversvideofbdevsmscufx.c_ufx_calc_range.c,19,19
extr_darwin-xnupexpertgendevice_tree.c_DTInit.c,12,12
extr_FFmpeglibavfilteraf_hdcd.c_hdcd_control.c,24,24
extr_linuxdriversnetwirelessbroadcombrcm80211brcmfmacsdio.c_brcmf_sdio_getdatoffset.c,12,12
extr_linuxdriversgpiogpio-lpc32xx.c_lpc32xx_gpio_to_irq_gpi_p3.c,8,8
extr_emscriptenthird_partygcc_demangler.c_d_add_substitution.c,16,16
extr_linuxdriversnetethernettoshibaps3_gelic_wireless.c_cmdstr.c,6,6
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_RB_RESOLVE_CNTL_2_Y.c,9,9
extr_linuxfsnfsnfs4proc.c_nfs4_bitmask.c,8,8
extr_linuxarchx86netbpf_jit_comp.c_bpf_size_to_x86_bytes.c,19,19
extr_swayswaybartrayitem.c_sni_ready.c,31,31
extr_linuxdriversnetethernetmellanoxmlx5coreen_acceltls.h_mlx5e_tls_get_count.c,6,6
extr_linuxsoundsocfslfsl_sai.c_fsl_sai_writeable_reg.c,12,12
extr_linuxdriversnetdsadsa_loop.c_dsa_loop_get_ethtool_stats.c,14,14
extr_linuxdriversmemoryomap-gpmc.c_gpmc_gpio_set.c,7,7
extr_linuxdriversstagingmediazoranzoran_driver.c_map_mode_jpg.c,20,20
extr_linuxdriversmiscmeipci-me.c_mei_me_set_pm_domain.c,5,5
extr_reactosdllcplintldate.c_isDateCompAl.c,15,15
extr_tmuxproc.c_proc_kill_peer.c,9,9
extr_linuxsamplesvfio-mdevmdpy.c_mdpy_device_release.c,5,5
extr_linuxtoolstestingvsockvsock_diag_test.c_sock_shutdown_str.c,21,21
extr_linuxnetrxrpcinsecure.c_none_secure_packet.c,9,9
extr_linuxnetsunrpcxprtrdmaxprt_rdma.h_rdmab_device.c,7,7
extr_radare2libreggegg_lang.c_is_var.c,26,26
extr_linuxdriversstagingrtl8188eucorertw_mlme.c_rtw_dummy_event_callback.c,6,6
extr_disquedepshiredissds.c_sdsReqType.c,13,13
extr_linuxarchsparckernelviohs.c_vio_send_sid.c,24,24
extr_reactosdriversfilesystemsbtrfsbtrfs_drv.h_get_extent_data_refcount.c,14,14
extr_linuxdriversnetethernetmarvellmvneta.c_mvneta_rxq_desc_is_first_last.c,11,11
extr_linuxdriversedacamd64_edac.c_k8_early_channel_count.c,20,20
extr_linuxdriversusbrenesas_usbhsmod.c_usbhs_status_get_device_state.c,18,18
extr_linuxfscephdebugfs.c_ceph_fs_debugfs_cleanup.c,5,5
extr_linuxmmzsmalloc.c_migrate_read_unlock.c,5,5
extr_linuxarchx86bootctype.h_isdigit.c,15,15
extr_disquesrcblocked.c_blockClient.c,16,16
extr_linuxtoolsperfutilhist.c_he_stat__add_stat.c,41,41
extr_mpvosdepandroidposix-spawn.c_posix_spawn_file_actions_destroy.c,6,6
extr_darwin-xnuosfmki386rtclock.c_nanotime_to_absolutetime.c,13,13
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_wsr_epc3_Slot_inst_encode.c,7,7
extr_linuxdriversstagingrtlwifibtcoexisthalbtc8822b1ant.c_ex_btc8822b1ant_pre_load_firmware.c,5,5
extr_radare2librasmarcharmaarch64aarch64-opc.c_value_aligned_p.c,13,13
extr_linuxfsdlmlock.c_force_blocking_asts.c,8,8
extr_linuxarcharm64cryptoaes-ce-glue.c_num_rounds.c,11,11
extr_linuxdriversgpudrmi915intel_opregion.h_intel_opregion_notify_adapter.c,7,7
extr_reactosdll3rdpartylibtifftif_open.c_TIFFCurrentTile.c,7,7
extr_FFmpeglibswscaleutils.c_sws_dcVec.c,13,13
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_VPC_VARYING_INTERP_MODE_CC.c,9,9
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_RB_COPY_DEST_INFO_SWAP.c,9,9
extr_linuxdriversclkclk-axi-clkgen.c_axi_clkgen_calc_clk_params.c,26,26
extr_darwin-xnubsdnetntstat.c_nstat_ifnet_compute_percentages.c,20,20
extr_linuxarchx86kvmmtrr.c_valid_mtrr_type.c,12,12
extr_linuxdriversgpudrmnouveaudispnv50head.c_nv50_head_atomic_check_procamp.c,40,40
extr_kphp-kdbdnsdns-data.c_dns_stats.c,30,30
extr_linuxdriversmddm-table.c_dm_table_set_type.c,9,9
extr_linuxdriversusbmtu3mtu3_dr.h_ssusb_host_disable.c,7,7
extr_linuxtoolsperfuibrowsers....utildso.h_dso__is_vmlinux.c,19,19
extr_linuxarcharmmmnommu.c_arch_memremap_wb.c,7,7
extr_linuxdriversstagingrtlwifibtcoexist..wifi.h_set_hal_stop.c,8,8
extr_linuxdriversgpudrmamdpowerplayhwmgrsmu7_hwmgr.c_smu7_get_fan_control_mode.c,12,12
extr_seafiledaemonsync-mgr.c_cmp_repos_by_sync_time.c,15,15
extr_linuxdriversnetethernetbroadcombnx2xbnx2x_sp.c_bnx2x_empty_rx_mode_wait.c,7,7
extr_linuxdriversmmchostomap_hsmmc.c_omap_hsmmc_context_save.c,5,5
extr_linuxdriversstaginggoldfishgoldfish_audio.c_goldfish_audio_ioctl.c,11,11
extr_linuxdriversmediai2cs5k5baf.c_s5k5baf_clear_error.c,11,11
extr_linuxdriversmfdas3711.c_as3711_readable_reg.c,12,12
extr_SoftEtherVPNsrcCedarHub.c_IsHubMacAddress.c,12,12
extr_linuxdriversgpudrmsun4isun4i_hdmi_i2c.c_sun4i_hdmi_i2c_func.c,7,7
extr_linuxsoundpciemu10k1emu10k1_callback.c_snd_emu10k1_ops_setup.c,8,8
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_HLSQ_HS_CONFIG_CONSTOBJECTOFFSET.c,9,9
extr_linuxdriversmediapcicobaltcobalt-v4l2.c_cobalt_g_output.c,10,10
extr_linuxdriversnetethernetmarvellsky2.c_sky2_get_regs_len.c,6,6
extr_linuxdriversacpiec.c_acpi_is_boot_ec.c,10,10
extr_linuxdriversscsilibsassas_expander.c_dev_type_flutter.c,12,12
extr_linuxdriversstagingrtl8192uieee80211ieee80211_crypt_tkip.c_Lo16.c,7,7
extr_FFmpeglibavfilterasrc_anoisesrc.c_brown_filter.c,18,18
extr_php-srcextfileinfolibmagicmagic.c_magic_getparam.c,17,17
extr_linuxkernelcgroupfreezer.c_freezer_state_strs.c,16,16
extr_darwin-xnubsdnetinettcp_ledbat.c_tcp_ledbat_cwnd_init.c,14,14
extr_reactosbaseapplicationscalcfun_ieee.c_myabs64.c,10,10
extr_linuxdriversinputkeyboardadp5588-keys.c_adp5588_gpio_add.c,6,6
extr_linuxdriversgpudrmi915i915_gem.c_fb_write_origin.c,12,12
extr_linuxdriversgpudrmamdamdgpuamdgpu_mn.h_amdgpu_mn_unlock.c,5,5
extr_linuxdriversi2cbussesi2c-kempld.c_kempld_i2c_func.c,8,8
extr_linuxdriverspinctrlmediatekmtk-eint.h_mtk_eint_do_resume.c,7,7
extr_linuxdriversgpudrmamdpowerplayhwmgrsmu10_hwmgr.c_smu10_construct_boot_state.c,6,6
extr_FFmpeglibavformatutils.c_has_duration.c,17,17
extr_mongooseexamplesPIC32http_serverfirmwaresrcsystem_configpic32mx_eth_sk2_encx24j600frameworksystemportssrcsys_ports_static.c_SYS_PORTS_GlobalChangeNotificationDisable.c,5,5
extr_tenginesrchttpmodulesngx_http_slice_filter_module.c_ngx_http_slice_init.c,14,14
extr_linuxdriversgpudrmmsmdsidsi_host.c_dsi_get_pclk_rate.c,20,20
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_mp_ioctl.c_oid_rt_pro_set_tx_agc_offset_hdl.c,6,6
extr_linuxdriversgpudrmi915selftestshuge_gem_object.h_huge_gem_object_dma_size.c,7,7
extr_linuxdriversgpudrmmsmdsidsi.xml.h_REG_DSI_14nm_PHY_LN_CFG3.c,8,8
extr_linuxdriversinputkeyboardlm8323.c_lm8323_ispress.c,11,11
extr_reactosdllwin32jscriptjscript.c_is_started.c,25,25
extr_reactosdriversbusacpiacpicautilitiesutalloc.c_AcpiUtValidateBuffer.c,25,25
extr_linuxtoolsperfuibrowsers....utilxyarray.h_xyarray__max_x.c,7,7
extr_emscriptentestslzmalzmaLzFind.c_MatchFinder_CreateVTable.c,35,35
extr_linuxdriversnetwirelessbroadcomb43legacypio.h_b43legacy_pio_tx_resume.c,5,5
extr_linuxdrivershwmonlm77.c_LM77_TEMP_FROM_REG.c,10,10
extr_linuxdriversisdnhisaxenternow_pci.c_dummywr.c,10,10
extr_linuxdriversscsimac_scsi.c_macscsi_dma_residual.c,7,7
extr_How-to-Make-a-Computer-Operating-Systemsrcsdksrclibcsrcstdlibsrandom.c_srandom.c,7,7
extr_linuxdriversclkclk-rk808.c_rk808_clkout_recalc_rate.c,7,7
extr_linuxdriverss390blockdasd_proc.c_dasd_devices_start.c,15,15
extr_linuxdriversgpudrmamdamdgpusi.c_si_common_set_powergating_state.c,7,7
extr_h2odepspicohttpparserpicohttpparser.c_decode_hex.c,26,26
extr_linuxdriversgpudrmmsmdsidsi.xml.h_DSI_ACTIVE_VSYNC_VPOS_START.c,9,9
extr_linuxdriversgpudrmamddisplayamdgpu_dmamdgpu_dm.c_dm_set_clockgating_state.c,7,7
extr_radare2librcoreanal_objc.c_isInvalid.c,16,16
extr_linuxdriversusbhostdwc_otgdwc_otg_cil.c_dwc_otg_get_param_data_fifo_size.c,8,8
extr_linuxdriversmtdnandrawnand_base.c_nand_get_bits_per_cell.c,14,14
extr_linuxsoundsoccodecstlv320aic31xx.c_aic31xx_volatile.c,12,12
extr_linuxarchs390mmextmem.c_dcss_diag_translate_rc.c,11,11
extr_linuxdriverscryptocaamcaamhash.c_alt_buflen.c,12,12
extr_linuxdriversclkticomposite.c_ti_composite_set_rate.c,9,9
extr_linuxdriversgpudrmmsmdsidsi.xml.h_DSI_20nm_PHY_TIMING_CTRL_0_CLK_ZERO.c,9,9
extr_labenginecodebspcnodraw.c_GLS_Winding.c,6,6
extr_linuxarchx86kerneluprobes.c_riprel_post_xol.c,6,6
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_muls_aa_ll_Slot_inst_encode.c,7,7
extr_kphp-kdbsearchsearch-data.c_get_object_id.c,13,13
extr_reactosdllwin32dbghelpcpu_i386.c_i386_fetch_minidump_module.c,8,8
extr_linuxdriversblockskd_main.c_skd_release_skreq.c,9,9
extr_radare2librasmpasm_hexagon_gnu.c_symbol_at_address.c,7,7
extr_radare2shlrgrubkernmisc.c_grub_isspace.c,23,23
extr_linuxdriversnetwirelessathath9khw.c_ath9k_hw_dfs_tested.c,12,12
extr_linuxdriversnetwirelessrealtekrtlwifirtl8723aedm.c_rtl8723e_dm_pwdb_monitor.c,5,5
extr_linuxdriversgpudrmradeontrinity_dpm.c_trinity_uvd_clocks_zero.c,10,10
extr_linuxdriversiiodacad5421.c_ad5421_get_current_min_max.c,25,25
extr_emscriptentestssqlitespeedtest1.c_swizzle.c,23,115
extr_darwin-xnubsdkernkpi_mbuf.c_mbuf_set_vlan_tag.c,14,14
extr_reactosdlldirectxwined3dcompiler_43bytecodewriter.c_d3d9_writemask.c,23,23
extr_linuxdriversiiodummyiio_simple_dummy.h_iio_simple_dummy_configure_buffer.c,6,6
extr_linuxnetipv4ip_sockglue.c_ipv4_datagram_support_addr.c,24,24
extr_linuxarchmipsmmdma-noncoherent.c_dev_is_coherent.c,23,23
extr_darwin-xnuosfmkdevicesubrs.c_tolower.c,13,13
extr_linuxarchsparckernelviohs.c_vio_conn_reset.c,5,5
extr_linuxarchsparckernelptrace_64.c_ptrace_disable.c,5,5
extr_linuxdriversnetethernetbroadcombnxtbnxt_sriov.c_bnxt_update_vf_mac.c,5,5
extr_linuxdriversgpudrmamdamdgpugfx_v6_0.c_gfx_v6_0_get_csb_size.c,36,36
extr_reactosmodulesrostestswinetestsurlmonuri.c_add_default_flags.c,41,41
extr_linuxdriversusbhostxhci.h_xhci_to_hcd.c,7,7
extr_linuxdriversttyserialar933x_uart.c_ar933x_uart_config_port.c,10,10
extr_linuxdriversnetethernetfreescaledpaadpaa_eth.c_bpool_buffer_raw_size.c,32,1225
extr_linuxdriversmmccorequeue.h_mmc_tot_in_flight.c,17,17
extr_linuxdriversblockdrbddrbd_nl.c_notifications_for_state_change.c,15,15
extr_linuxdriversnetethernetmellanoxmlx5coreen_tc.c_get_flags.c,18,18
extr_linuxdriversfirmwareeficapsule.c_efi_capsule_pending.c,10,10
extr_linuxdriversnetethernetfaradayftgmac100.c_ftgmac100_base_tx_ctlstat.c,14,14
extr_linuxdriverscryptostm32stm32-cryp.c_is_aes.c,8,8
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_round_s_Slot_inst_encode.c,7,7
extr_linuxdriverslightnvmpblk.h_pblk_ppa_comp.c,11,11
extr_linuxarchsparckernelirq_64.c_cookie_handler_data.c,13,13
extr_linuxdriversmtdnandonenandonenand_base.c_flexonenand_ooblayout_free.c,14,14
extr_linuxdriversnetwimaxi2400mi2400m.h___i2400m_msleep.c,5,5
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_nalp.c,11,11
extr_linuxdriversmfdsm501.c_sm501_setup_uart_data.c,36,36
extr_linuxdriverspcicontrollerdwc....pci.h_pci_iov_bus_range.c,6,6
extr_hashcatsrcmodulesmodule_09900.c_module_init.c,203,203
extr_linuxdriversscsiufsufs-qcom.c_ufs_qcom_update_bus_bw_vote.c,6,6
extr_linuxdriversnetethernetnetronomenfpbpf..nfp_net.h_nfp_net_fw_ver_eq.c,18,18
extr_linuxmmmemcontrol.c_mem_cgroup_move_swap_account.c,9,9
extr_php-srcextstandardphp_fopen_wrapper.c_php_stream_input_flush.c,6,6
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_break_n_Slot_inst16b_encode.c,7,7
extr_linuxdriverstargettcm_fctfc_conf.c_ft_check_false.c,6,6
extr_linuxdriversnetethernetbroadcomtg3.c_tg3_5700_link_polarity.c,21,21
extr_linuxdriversmdpersistent-datadm-space-map-metadata.c_brb_init.c,9,9
extr_linuxdriversacpiacpicautdecode.c_acpi_ut_get_event_name.c,12,12
extr_mpvstreamtvi_dummy.c_init.c,10,10
extr_linuxdriversmtdmapsuclinux.c_uclinux_point.c,30,30
extr_h2olibcommonsocketevloopepoll.c.h_evloop_do_on_socket_create.c,5,5
extr_linuxdriversmediadvb-frontendsbcm3510.c_bcm3510_sleep.c,6,6
extr_linuxdriversnetwirelessrealtekrtl8192cuhaldm.c_dm_adaptivity.c,5,5
extr_FFmpeglibavcodech264_mp4toannexb_bsf.c_h264_mp4toannexb_flush.c,16,16
extr_FFmpeglibavcodecflac.c_ff_flac_get_max_frame_size.c,36,36
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_RB_RENDER_COMPONENTS_RT1.c,9,9
extr_emscriptentestsluasrclparser.c_block_follow.c,18,18
extr_labenginecodebspcportals.c_P_AddNodeToList.c,13,13
extr_linuxdriversinfinibandhwi40iwi40iw_ctrl.c_i40iw_setup_termhdr.c,18,18
extr_darwin-xnuosfmkkernstack.c_log2.c,16,72
extr_linuxdriversnetethernetmellanoxmlx5corewq.h_mlx5_wq_cyc_pop.c,9,9
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_SP_VS_PVT_MEM_PARAM_REG_HWSTACKSIZEPERTHREAD.c,9,9
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_VSC_PIPE_CONFIG_REG_W.c,9,9
extr_stbtools..stb.h_stb_idict_remove_all.c,18,18
extr_kphp-kdbvkextvkext_schema_memcache.c_tl_tree_type_var_type.c,6,6
extr_linuxsoundpciice1712aureon.c_wm_master_vol_info.c,17,17
extr_linuxdriversnetethernetagereet131x.c_bump_free_buff_ring.c,24,24
extr_linuxdriversgpudrmamdamdgpucik.c_cik_common_set_clockgating_state.c,7,7
extr_linuxdriversvideoconsoledummycon.c_dummycon_font_set.c,8,8
extr_linuxdriversgpuhost1xhwhw_host1x02_uclass.h_host1x_uclass_indoff_indbe_f.c,8,8
extr_linuxarchsparckerneliommu-common.c_need_flush.c,12,12
extr_linuxfsnfsblocklayout..pnfs.h_pnfs_sync_inode.c,7,7
extr_linuxdriverspinctrlmediatekpinctrl-mt2701.c_mt2701_spec_dir_set.c,8,8
extr_linuxarchpowerpcplatformspowermacfeature.c_generic_get_mb_info.c,24,24
extr_linuxdriversnetethernetbrocadebnabfa_ioc.c_bfa_nw_ioc_auto_recover.c,7,7
extr_linuxdriversedaci5400_edac.c_nrec_rank.c,9,9
extr_php-srcextmbstringlibmbflmbflmbfilter.c_mbfl_buffer_converter_illegal_substchar.c,19,19
extr_linuxdriversmacintoshwindfarm_cpufreq_clamp.c_clamp_max.c,6,6
extr_hashcatsrcmodulesmodule_13771.c_module_init.c,203,203
extr_mpvmiscjson.c_eat_c.c,15,15
extr_linuxfseventpoll.c_ep_reset_busy_poll_napi_id.c,5,5
extr_obs-studiodepslzmaliblzmalzlz_decoder.h_dict_reset.c,7,7
extr_radare2librasmarcharmarmass64.c_isMask.c,18,18
extr_darwin-xnubsdnetif_bond.c_ifbond_flags_lladdr.c,12,12
extr_raspberry-pi-osexerciseslesson011evopensrcmini_uart.c_get_reg_baud.c,12,12
extr_linuxdriversi2cbussesi2c-rcar.c_rcar_i2c_func.c,12,12
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_HLSQ_CONTROL_1_REG_PRIMALLOCTHRESHOLD.c,9,9
extr_opensslcryptoranddrbg_lib.c_RAND_DRBG_set_reseed_defaults.c,14,14
extr_tmuxmode-tree.c_mode_tree_check_selected.c,19,19
extr_linuxdriversgpuhost1xhwhw_host1x05_uclass.h_host1x_uclass_wait_syncpt_base_indx_f.c,8,8
extr_linuxsoundsocbcmpisound.c_pisnd_spi_set_callback.c,10,10
extr_linuxdriversgpudrmamdamdgpuci_dpm.c_ci_dpm_set_clockgating_state.c,7,7
extr_reactosdriversfilesystemsext2srcmisc.c_Ext2IsDot.c,13,13
extr_linuxdriverstargetloopbacktcm_loop.c_tcm_loop_check_demo_mode_cache.c,6,6
extr_linuxdriversstagingmediadavinci_vpfedm365_ipipe.c_ipipe_validate_rgb2rgb_params.c,99,99
extr_linuxdriverspcihotplug..pci.h_pci_iov_remove.c,5,5
extr_hashcatsrcmodulesmodule_01450.c_module_init.c,203,203
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_HLSQ_CONTROL_3_REG_REGID.c,9,9
extr_kphp-kdbdnsdns-engine.c_update_stats.c,141,141
extr_linuxsamplesbpfxdp_monitor_user.c_calc_drop.c,24,24
extr_linuxdriversgpudrmnouveaunouveau_debugfs.h_nouveau_debugfs_init.c,6,6
extr_darwin-xnubsdkernuipc_socket2.c_pru_sosend_list_notsupp.c,9,9
extr_linuxdriversmediacommonsianosmsdvb-main.c_sms_to_mode.c,21,21
extr_linuxkernelmodule.c_mod_tree_insert.c,5,5
extr_linuxfsbtrfsref-verify.h_btrfs_init_ref_verify.c,5,5
extr_reactosdllwin32riched20reader.c_RTFSetClassCallback.c,12,12
extr_linuxdriversatalibata-scsi.c_ata_scsi_trusted_op.c,20,20
extr_SoftEtherVPNsrcSeLowSeLow.c_SlGetUnicode.c,10,10
extr_linuxdriversgpudrmamdamdgpuamdgpu_amdkfd_gfx_v9.c_get_fw_version.c,17,17
extr_linuxdriversisdnhardwareeiconcapifunc.c_ReceiveBufferGet.c,13,13
extr_linuxdriversstagingrtl8723bscorertw_recv.c_recv_indicatepkts_pkt_loss_cnt.c,16,16
extr_linuxnetsctpobjcnt.c_sctp_objcnt_seq_stop.c,6,6
extr_linuxdriversmfdsi476x-i2c.c_si476x_core_is_powered_up.c,11,11
extr_micropythonportsstm32uart.h_uart_tx_avail.c,9,9
extr_opensslcryptobiobio_lib.c_BIO_number_read.c,12,12
extr_FFmpeglibavcodecmathops.h_ff_u8_to_s8.c,8,8
extr_reactosdll3rdpartylibtifftif_compress.c__TIFFtrue.c,6,6
extr_radare2librasmarchdcpu16dis.c_needWord.c,17,17
extr_reactosdllwin32windowscodecsmetadatahandler.c_tag_to_vt.c,13,13
extr_linuxarchm68ksun3sun3ints.c_sun3_vec255.c,7,7
extr_linuxsecurityapparmorincludeaudit.h_complain_error.c,18,18
extr_linuxtoolsperfutilintel-pt-decoderinat.h_inat_must_vex.c,9,9
extr_darwin-xnubsddevdtracedtrace_glue.c__dtrace_register_anon_DOF.c,8,8
extr_Craftdepsglfwsrcx11_window.c_isFrameExtentsEvent.c,18,18
extr_openpilotpandaboarddriverstimer.h_timer_init.c,18,18
extr_FFmpeglibavcodecaacsbr.c_sbr_chirp.c,11,11
extr_obs-studiodepsmedia-playbackmedia-playbackmedia.c_get_sws_colorspace.c,15,15
extr_linuxdriversnetethernetmellanoxmlx5coreen_acceltls_stats.c_mlx5e_tls_get_count.c,11,11
extr_linuxdriversnetwirelessathath10kcoredump.h_ath10k_coredump_unregister.c,5,5
extr_numpynumpylinalglapack_litef2c_config.c_lsame_.c,21,21
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_VFD_VS_THREADING_THRESHOLD_REGID_VTXCNT.c,9,9
extr_linuxdriversgpudrmrockchiprockchip_drm_fbdev.h_rockchip_drm_fbdev_fini.c,5,5
extr_linuxvirtkvmarmvgicvgic-init.c_vgic_maintenance_handler.c,7,7
extr_linuxdriversmdbcachedebug.h_bch_btree_verify.c,5,5
extr_labenginecodebotlibbe_ai_goal.c_BotSaveGoalFuzzyLogic.c,6,6
extr_obs-studiolibobsobs-encoder.c_obs_encoder_set_preferred_video_format.c,13,13
extr_linuxdriversgpudrmi915intel_dpll_mgr.c_hsw_ddi_lcpll_enable.c,6,6
extr_reactosdllwin32atlatl_ax.c_IOCS_OnShow.c,13,13
extr_linuxdriversnetwirelessinteliwlwifidvmrs.c_rs_extract_rate.c,7,7
extr_reactosdllwin32hhctrl.ocxhelp.c_navigation_visible.c,15,15
extr_reactosdllwin32msifiles.c_verify_comp_for_removal.c,29,29
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_RB_RENDER_COMPONENTS_RT5.c,9,9
extr_linuxdriversnetwirelessrealtekrtlwifibtcoexisthalbtcoutsrc.c_rtl_get_hwpg_ant_num.c,11,11
extr_linuxdriversgpudrmi915i915_irq.c_pch_port_hotplug_long_detect.c,20,20
extr_timescaledbsrcbgwjob_stat.c_bgw_job_stat_next_start_was_set.c,11,11
extr_linuxdriversgpudrmamddisplaydcdcedce_hwseq.c_dce_use_lut.c,11,11
extr_linuxdriversmediadvb-frontendslgs8gl5.c_lgs8gl5_read_ber.c,9,9
extr_linuxkernelpowerpower.h_suspend_devices_and_enter.c,7,7
extr_linuxnetbatman-advdistributed-arp-table.h_batadv_dat_snoop_incoming_arp_request.c,8,8
extr_hashcatdepsLZMA-SDKC7zBuf2.c_DynBuf_SeekToBeg.c,7,7
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_max_Slot_xt_flix64_slot0_encode.c,7,7
extr_linuxdriversatasata_gemini.c_gemini_sata_bridge_enabled.c,19,19
extr_linuxdriversxen..pcipci.h_pcie_aspm_powersave_config_link.c,5,5
extr_linuxdriversmediadvb-frontendsdrxk_hard.c_is_qam.c,25,25
