name,static_instructions_case_big-arr_O0,dynamic_instructions_case_big-arr_O0
extr_reactosdriversfilesystemsext2srcfileinfo.c_Ext2IterateAllEa.c,23,23
extr_linuxsoundshsh_dac_audio.c_dac_audio_set_rate.c,12,12
extr_linuxsoundsoccodecswm8974.c_wm8974_get_mclkdiv.c,22,22
extr_linuxfsf2fsacl.c_f2fs_acl_count.c,20,20
extr_gitcompatwin32....hashmap.h_hashmap_disable_item_counting.c,7,7
extr_linuxarchpowerpckvmbook3s_hv.c_shrink_halt_poll_ns.c,10,10
extr_rufussrcext2fsextent.c_ul_log2.c,19,75
extr_linuxfsminixitree_v1.c_cpu_to_block.c,6,6
extr_linuxdriversdmaipuipu_idmac.c_dma_param_addr.c,8,8
extr_linuxdriversstagingrtl8188euos_deprtw_android.c_rtw_android_set_block.c,8,8
extr_php-srcsapilitespeedlsapilib.c_swapIntEndian.c,27,27
extr_linuxdriversmediai2ctvaudio.c_tda9875_volume.c,11,11
extr_linuxfsquotaquota.c_quota_state_to_flags.c,49,49
extr_linuxdriversnetwirelessrealtekrtlwifiregd.c__rtl_is_radar_freq.c,12,12
extr_linuxfsnfsdnfs4state.c_nfs4_transform_lock_offset.c,17,17
extr_radare2librasmarchhppagnuhppa-dis.c_extract_10U_store.c,8,8
extr_linuxcryptointernal.h_crypto_compress_ctxsize.c,7,7
extr_linuxdriversnetethernetbroadcombnxtbnxt_sriov.c_bnxt_approve_mac.c,8,8
extr_linuxdriversgpudrmamdamdgpudce_virtual.c_dce_virtual_set_property.c,8,8
extr_wrksrcnet.c_sock_connect.c,7,7
extr_linuxdriversacpiapeierst.c_erst_exec_goto.c,11,11
extr_linuxdriversttyserialrp2.c_rp2_uart_request_port.c,6,6
extr_php-srcextpcrepcre2libsljitsljitNativeTILEGX-encoder.c_create_Imm8_Y0.c,10,10
extr_linuxsoundsoccodecssgtl5000.c_dac_info_volsw.c,16,16
extr_kphp-kdbpmemcachedpmemcached-index-ram.c_onload_metafile.c,7,7
extr_reactosbaseservicesnfsddaemon_debug.c_nfs_error_string.c,14,14
extr_redisdepsjemallocsrczone.c_zone_print.c,6,6
extr_linuxdriversnetethernetnetronomenfpnfpcorenfp_rtsym.c_nfp_meid.c,14,14
extr_darwin-xnubsdkernkern_memorystatus.c_memorystatus_priority_band_name.c,14,14
extr_linuxdriversnettun.c_tun_hashfn.c,7,7
extr_linuxdriversmediarcrc-core-priv.h_decrease_duration.c,15,15
extr_linuxarchx86kernelapicapic_noop.c_noop_send_IPI.c,6,6
extr_reactossdklibrossym_newinitum.c_RosSymGetMemUM.c,9,9
extr_linuxkernelrcurcu_segcblist.h_rcu_segcblist_n_lazy_cbs.c,7,7
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_PC_PRIM_VTX_CNTL_STRIDE_IN_VPC.c,9,9
extr_zstdprogramsbenchfn.c_BMK_setValid_runTime.c,10,10
extr_linuxdriversmmchosts3cmci.c_s3cmci_host_usedma.c,6,6
extr_linuxfsf2fsfile.c_f2fs_xflags_to_iflags.c,31,31
extr_linuxdriversnetethernetbroadcombnx2xbnx2x_dcb.c_bnx2x_dcbx_add_to_cos_bw.c,15,15
extr_linuxdriversgpudrmamdpowerplayhwmgrvega12_thermal.c_vega12_enable_fan_control_feature.c,6,6
extr_kittykittygraphics.c_update_src_rect.c,40,40
extr_os-tutorial23-fixeslibcmem.c_kmalloc.c,21,21
extr_linuxdriversgpudrmdrm_fb_helper.c_pan_set.c,12,12
extr_linuxdriversgpudrmradeonr100.c_r100_pci_gart_tlb_flush.c,5,5
extr_kphp-kdbcachecache-binlog.c_a2hex.c,43,7666
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_rsr_dtlbcfg_Slot_inst_encode.c,7,7
extr_micropythonportspic16bitpic16bit_mphal.c_mp_hal_set_interrupt_char.c,7,7
extr_linuxsoundpciice1712ice1724.c_snd_vt1724_spdif_info.c,12,12
extr_linuxnetcoredatagram.c_connection_based.c,19,19
extr_darwin-xnubsddevdtracesystrace.c__systrace_open.c,9,9
extr_obs-studiolibobsaudio-monitoringwin32....obs-internal.h_packet_dts_usec.c,11,11
extr_FFmpeglibavcodecqsvdec.c_ff_qsv_decode_flush.c,9,9
extr_linuxdrivershwmonw83795.c_w83795_apply_temp_config.c,21,21
extr_linuxdriversgpudrmi915i915_gpu_error.c_compress_flush.c,7,7
extr_radare2librdebugpdebug_io.c___io_attach.c,7,7
extr_emscriptentestsnbody-javajava_lang_Number.c___DELETE_java_lang_Number.c,6,6
extr_raspberry-pi-osexerciseslesson052avenitosrcprintf.c_ui2a.c,62,107
extr_linuxdriversedaci7core_edac.c_numrank.c,9,9
extr_ijkplayerijkmediaijkplayerpipelineffpipeline_ffplay.c_func_destroy.c,5,5
extr_linuxdriversnvdimmdimm_devs.c_nvdimm_provider_data.c,12,12
extr_linuxdriversmmchostmmci.c_mmci_dma_unmap.c,6,6
extr_FFmpeglibavutillog.c_get_level_str.c,14,14
extr_linuxdriversnetwirelessinteliwlegacy3945-mac.c_il3945_ucode_get_header_size.c,6,6
extr_linuxdriversgpudrmamdamdgpugmc_v6_0.c_gmc_v6_0_convert_vram_type.c,14,14
extr_linuxdriversgpudrmamddisplaydcbioscommand_table2.c_external_encoder_control_v3.c,7,7
extr_reactossdktoolswppppl.yy.c_ppy_set_debug.c,7,7
extr_linuxdriversregulatortps51632-regulator.c_is_volatile_reg.c,12,12
extr_linuxdriversgpudrmnouveaunvkmsubdevpciagp.h_nvkm_agp_ctor.c,5,5
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_REG_A4XX_RBBM_CLOCK_DELAY_RB_MARB_CCU_L1_REG.c,8,8
extr_linuxdriversnetwirelessathath10kmac.c_ath10k_mac_sta_has_ofdm_only.c,11,11
extr_linuxarchunicore32kernelsetup.c_c_next.c,12,12
extr_hashcatsrcmodulesmodule_99999.c_module_init.c,203,203
extr_darwin-xnubsdkernkern_subr.c_uio_rw.c,11,11
extr_hashcatsrcmodulesmodule_09820.c_module_init.c,203,203
extr_linuxdriversinputseriorpckbd.c_rpckbd_tx.c,7,7
extr_linuxdriversscsilpfclpfc_scsi.c_lpfc_cmd_blksize.c,8,8
extr_linuxdriversmfdwm8994-irq.c_wm8994_edge_irq_disable.c,5,5
extr_mongooseexamplesPIC32mqtt_clientfirmwaresrcsystem_configmx795_CC3100_e16frameworkdriverspistaticsrcdrv_spi_static_sys_queue.c__DRV_SPI_SYS_QUEUE_LockQueueManager.c,6,6
extr_linuxdriversgpudrmi915i915_sw_fence.c_debug_fence_free.c,5,5
extr_mpvstreamstream.h_stream_eof.c,7,7
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_ioctl_rtl.c_oid_rt_ap_supported_hdl.c,11,11
extr_torch7libTHTHFile.c_THFile_clearError.c,7,7
extr_redisdepsluasrclua_cjson.c_hexdigit2int.c,19,19
extr_linuxarchpowerpckernelaudit.c_audit_classify_syscall.c,14,14
extr_linuxfsnfsblocklayout..pnfs.h_pnfs_wait_on_layoutreturn.c,7,7
extr_linuxdriversgpudrmmsmedpedp.xml.h_EDP_AUX_DATA_DATA.c,9,9
extr_php-srcextgdlibgdgd.c_gdImageSetAntiAliased.c,13,13
extr_linuxdriversparportparport_mfc3.c_status_mfc3_to_pc.c,50,50
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_RB_STENCILREFMASK_STENCILWRITEMASK.c,9,9
extr_linuxdriversmemoryomap-gpmc.c_gpmc_gpio_direction_output.c,9,9
extr_linuxdriversbaseregmapregmap-ac97.c_regmap_ac97_default_volatile.c,12,12
extr_linuxdriversnetethernetnetronomenfpnfp_app.h_nfp_app_ctrl_uses_data_vnics.c,17,17
extr_linuxdriversmiscvmw_balloon.c_vmballoon_debugfs_init.c,6,6
extr_linuxnetcephmessenger.c_sizeof_footer.c,11,11
extr_linuxdriversgpudrmbochsbochs_mm.c_bochs_ttm_bo_is_bochs_bo.c,11,11
extr_kphp-kdbfilesysfilesys-xfs-engine.c_init_filesys_data.c,8,8
extr_ccvlibnnccmdnormccv_nnc_batch_norm.c__ccv_nnc_batch_norm_enforce_inplace.c,14,14
extr_linuxnetxfrmxfrm_device.c_xfrm_api_check.c,15,15
extr_linuxarchpowerpckernelhw_breakpoint.c_arch_bp_generic_fields.c,24,24
extr_linuxsoundusbusx2yusx2yhwdeppcm.c_usX2Y_iso_frames_per_buffer.c,12,12
extr_kphp-kdbhintshash_table.c_ltbl_get_rev.c,15,15
extr_linuxdriversgpudrmmsmadrenoa3xx.xml.h_A3XX_HLSQ_CL_NDRANGE_0_REG_LOCALSIZE2.c,9,9
extr_linuxnetieee8021546lowpanrx.c_lowpan_is_bc0.c,10,10
extr_linuxdriversphytegraxusb-tegra124.c_tegra124_ulpi_phy_power_on.c,6,6
extr_linuxdriversdmahsu..dmaengine.h_dmaengine_desc_callback_valid.c,11,11
extr_php-srcextphartar.c_phar_tar_octal.c,41,4873
extr_mpvsubosd_dummy.c_osd_destroy_backend.c,5,5
extr_linuxfsnfsnfs4client.c_nfs4_session_limit_rwsize.c,5,5
extr_curllibprogress.c_Curl_pgrsSetUploadSize.c,16,16
extr_linuxkerneltrace....blockblk-mq-tag.h_blk_mq_tag_is_reserved.c,12,12
extr_linuxnetbluetoothbnepnetdev.c_bnep_net_set_mc_list.c,5,5
extr_linuxtoolsperfutilhist.c_hists__set_col_len.c,12,12
extr_linuxdriversusbdwc3ep0.c_dwc3_ep0_status_cmpl.c,6,6
extr_linuxdriversmmchostcavium.c_get_dma_dir.c,13,13
extr_nodemcu-firmwareappplatformplatform.h_platform_ow_exists.c,13,13
extr_FFmpeglibavcodecdxva2.c_ff_dxva2_lock.c,5,5
extr_linuxvirtkvmarmvgicvgic-its.c_vgic_mmio_read_its_idregs.c,16,16
extr_darwin-xnuosfmki386machine_routines.c_ml_delay_should_spin.c,11,11
extr_FFmpeglibavfiltervf_removegrain.c_mode19.c,27,27
extr_darwin-xnulibsyscallwrapperslibproclibproc.c_proc_libversion.c,15,15
extr_hashcatsrcrp.c_class_upper.c,14,14
extr_linuxdriversnetethernetchelsiocxgb4vfcxgb4vf_main.c_cxgb4vf_fix_features.c,15,15
extr_darwin-xnuosfmkkerntask_policy.c_qos_latency_policy_validate.c,15,15
extr_linuxdriversgpudrmi915gvtedid.c_get_port_from_gmbus0.c,23,23
extr_kittyglfwwl_window.c__glfwPlatformGetWindowFrameSize.c,15,15
extr_linuxfsreiserfsreiserfs.h_uniqueness2type.c,14,14
extr_linuxdriversfpgasocfpga-a10.c_socfpga_a10_fpga_writeable_reg.c,12,12
extr_linuxdriverspinctrlsprdpinctrl-sprd.c_sprd_pmx_get_function_count.c,6,6
extr_linuxtoolsperfutilgenelf_debug.c_buffer_ext_addr.c,7,7
extr_linuxdriversgpiogpio-lp873x.c_lp873x_gpio_direction_input.c,8,8
extr_radare2shlrqnxsrcutils.c_ptid_build.c,11,11
extr_linuxsoundpcipcxhrpcxhr.c_pcxhr_pll_freq_register.c,14,14
extr_linuxdriversnetethernetchelsiocxgb4vfcxgb4vf_main.c_cxgb4vf_get_regs_len.c,6,6
extr_kittyglfwwl_window.c__glfwPlatformFramebufferTransparent.c,7,7
extr_linuxfscifsasn1.c_compare_oid.c,29,3842
extr_linuxdriversmediausbs2255s2255drv.c_vidioc_s_input.c,14,14
extr_linuxkerneltracetrace_sched_wakeup.c_wakeup_tracer_stop.c,6,6
extr_linuxdriversvideofbdevmmpfbmmpfb.c_to_rgb.c,22,22
extr_linuxdriversgpudrmradeonsi.c_dce6_get_dmif_bytes_per_request.c,6,6
extr_mimikatzmodulessqlite3_omit.c_pagerFixMaplimit.c,5,5
extr_linuxdriversnetethernetbroadcombnx2xbnx2x_sriov.h_bnx2x_vfpf_close_vf.c,5,5
extr_linuxdriverspinctrlpinctrl-sx150x.c_sx150x_maybe_swizzle.c,15,15
extr_darwin-xnubsdkernkern_proc.c_proc_exiting.c,17,17
extr_linuxarchpowerpckvmbooke.c_kvmppc_load_guest_altivec.c,5,5
extr_FFmpeglibavformatmov_chan.c_mov_get_channel_label.c,15,15
extr_linuxlibklist.c_klist_node_attached.c,10,10
extr_linuxdriverscryptoccpccp-crypto-main.c_ccp_crypto_success.c,20,20
extr_darwin-xnubsdsecurityauditaudit_syscalls.c_auditon.c,8,8
extr_linuxfslocks.c_locks_overlap.c,22,22
extr_linuxdriversusbhostdwc_otgdwc_otg_hcd_ddma.c_desclist_idx_dec.c,19,19
extr_linuxblockblk-wbt.c_wbt_is_tracked.c,8,8
extr_obs-studiolibobsgraphicslibnsgiflibnsgif.c_gif_interlaced_line.c,45,45
extr_linuxtoolslibtraceeventevent-parse.c_tep_ref.c,9,9
extr_linuxdriversmediapciddbridgeddbridge-max.c_max_enable_high_lnb_voltage.c,7,7
extr_linuxdriversnetethernetintelfm10kfm10k.h_fm10k_dbg_q_vector_exit.c,5,5
extr_h2odepsmrubymrbgemsmruby-evalsrceval.c_mrb_mruby_eval_gem_final.c,5,5
extr_linuxdriversnetwirelessrealtekrtlwifirtl8192detrx.c__rtl92de_signal_scale_mapping.c,45,45
extr_linuxdriversgpudrmamdamdgpugfx_v7_0.c_gfx_v7_0_config_init.c,7,7
extr_libgit2srcdiff_generate.c_diff_mnemonic_prefix.c,15,15
extr_linuxdriversisdngigasetasyncdata.c_muststuff.c,20,20
extr_linuxkerneluser_namespace.c_m_stop.c,6,6
extr_linuxdriversusbisp1760isp1760-hcd.h_isp1760_hcd_unregister.c,5,5
extr_linuxfscephcaps.c_gcap_string.c,39,39
extr_FFmpeglibavcodecindeo3.c_replicate32.c,13,13
extr_micropythonportsstm32usbhostClassMTPSrcusbh_mtp_ptp.c_PTP_GetString.c,24,24
extr_linuxfsnamespace.c_mnt_inc_writers.c,9,9
extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_usart.c_USART_ClockStructInit.c,17,17
extr_linuxdriverss390scsizfcp_fc.c_zfcp_fc_timeout_bsg_job.c,7,7
extr_emscriptentestsnbody-javaorg_apache_harmony_luni_platform_Endianness.c___DELETE_org_apache_harmony_luni_platform_Endianness.c,6,6
extr_darwin-xnuosfmkvmbsd_vm.c_get_map_nentries.c,7,7
extr_linuxdriversgpudrmamdamdgpusoc15.c_soc15_common_set_powergating_state.c,7,7
extr_linuxdriverspcipci.h_pcie_aspm_powersave_config_link.c,5,5
extr_linuxdriversttyhvchvsi.c_print_state.c,5,5
extr_linuxdriversxen..pcipci.h_of_pci_get_max_link_speed.c,7,7
extr_linuxdriversgpiogpio-104-idi-48.c_idi_48_gpio_direction_input.c,7,7
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_quou_Slot_inst_encode.c,7,7
extr_linuxdriversscsibfabfad.c_bfad_update_hal_cfg.c,45,45
extr_linuxdriversnetethernetqlogicqedeqede_fp.c_qede_check_tunn_csum.c,41,41
extr_kittyglfwwl_monitor.c__glfwPlatformGetVideoModes.c,12,12
extr_linuxnetschedsch_gred.c_gred_store_wred_set.c,14,14
extr_darwin-xnubsdnetif.c_ifnet_mbuf_packetpreamblelen.c,6,6
extr_linuxdriversnetethernetemulexbenetbe_cmds.c_be_skip_err_log.c,24,24
extr_linuxdriverscharipmikcs_bmc.h_kcs_bmc_priv.c,7,7
extr_linuxdriversnetwirelessinteliwlwifidvmagn.h_iwl_dbgfs_register.c,7,7
extr_radare2libreggegg_lang.c_is_space.c,28,28
extr_linuxblockpartitionsibm.c_cchhb2blk.c,32,32
extr_linuxdriversfirmwarearm_scmibus.c_scmi_dev_match_id.c,24,24
extr_redisdepsjemallocsrcbackground_thread.c_background_thread_boot1.c,6,6
extr_linuxdriversgpudrmmsmadrenoa5xx.xml.h_A5XX_RB_CLEAR_CNTL_MASK.c,9,9
extr_linuxdriversnetethernetintelixgbevfvf.c_ixgbevf_hv_set_uc_addr_vf.c,9,9
extr_linuxarchs390kvmkvm-s390.h_kvm_s390_user_cpu_state_ctrl.c,10,10
extr_linuxdriversgpudrmamdamdgpuatom.c_atom_op_nop.c,7,7
extr_linuxdriversttytty_baudrate.c_tty_termios_baud_rate.c,20,20
extr_linuxdriversnetveth.c_veth_is_xdp_frame.c,7,7
extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_adc.c_ADC_CommonStructInit.c,17,17
extr_linuxdriverspciprobe.c_pci_configure_eetlp_prefix.c,5,5
extr_labenginecodeqcommonq_shared.c_ShortSwap.c,17,17
extr_php-srcextpcrepcre2libsljitsljitNativeTILEGX-encoder.c_get_ShAmt_X0.c,10,10
extr_linuxdriversstagingrtl8188eucorertw_mlme.c_rtw_generate_random_ibss.c,30,30
extr_openpilotpandaboardsafetysafety_defaults.h_alloutput_tx_lin_hook.c,8,8
extr_gitxdiffxpatience.c_binary_search.c,36,215
extr_linuxfshpfshpfs_fn.h_hpfs_sb.c,7,7
extr_linuxarchmipspcipci-rt3883.c_pcibios_plat_dev_init.c,6,6
extr_linuxarcharmmach-davinciboard-da850-evm.c_da850_evm_setup_video_port.c,5,5
extr_linuxdriversinputmousecyapa_gen5.c_cyapa_sort_pip_application_launch_data.c,17,17
extr_linuxsoundsocfslfsl_spdif.c_fsl_spdif_readable_reg.c,12,12
extr_linuxtoolspoweracpios_specificservice_layersosunixxf.c_acpi_os_enter_sleep.c,8,8
extr_linuxarchpowerpckvmbooke.c_kvmppc_core_flush_memslot.c,6,6
extr_linuxsoundsocsoc-pcm.c_dai_get_widget.c,13,13
extr_linuxfsnfspnfs.h_pnfs_use_threshold.c,8,8
extr_mimikatzmodulessqlite3_omit.c_validJulianDay.c,16,16
extr_linuxdriversledsleds-lm3601x.c_lm3601x_volatile_reg.c,11,11
extr_openssltesttls13secretstest.c_RECORD_LAYER_reset_write_sequence.c,5,5
extr_linuxdriversstagingfsl-dpaa2ethernetdpaa2-eth.h_dpaa2_get_hwa.c,17,17
extr_linuxdriversstagingcomedicomedi_fops.c___comedi_get_subdevice_runflags.c,7,7
extr_ijkplayerijkmediaijksdlgles2renderer_yuv420p.c_yuv420p_getBufferWidth.c,16,16
extr_linuxdriversnetethernetfreescalefmanfman_tgec.c_is_init_done.c,9,9
extr_ijkplayerijkmediaijkplayerff_ffplay.c_ffp_context_child_next.c,7,7
extr_timescaledbsrcnethttp_response.c_http_parse_header_name.c,30,30
extr_opensslcryptoasn1tasn_scn.c_ASN1_SCTX_get_app_data.c,7,7
extr_reactosdllwin32mshtmlhtmltextarea.c_HTMLTextAreaElement_is_text_edit.c,6,6
extr_linuxkernelirqinternals.h_record_irq_time.c,5,5
extr_linuxdriversmediaradiowl128xfmdrv_rx.c_fm_rx_reset_station_info.c,12,12
extr_opensslcryptostorestore_register.c_OSSL_STORE_LOADER_set_load.c,10,10
extr_darwin-xnubsdnetif_fake.c_feth_is_detaching.c,12,12
extr_linuxnetmac80211led.h_ieee80211_led_assoc.c,6,6
extr_libuvtesttest-fs.c_uv_test_fs_buf_offset.c,41,41
extr_FFmpeglibavformathls.c_default_reload_interval.c,12,12
extr_linuxnetdccpdccp.h_dccp_set_seqno.c,10,10
extr_linuxarchpowerpcplatformspowernv........driverspcipci.h_pci_proc_detach_bus.c,6,6
extr_linuxnetxfrmxfrm_user.c_verify_policy_type.c,13,13
extr_linuxfsocfs2dir.c_ocfs2_dir_trailer_blk_off.c,8,8
extr_linuxdrivershwmondme1737.c_PWM_ACZ_FROM_REG.c,10,10
extr_gitcompatwin32....git-compat-util.h_is_missing_file_error.c,17,17
extr_obs-studiodepsmedia-playbackmedia-playbackmedia.c_convert_speaker_layout.c,12,12
extr_kphp-kdbTLtl-utils.c_tl_int_array_mark.c,7,7
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_GRAS_SC_CONTROL_MSAA_SAMPLES.c,9,9
extr_nodemcu-firmwareappsqlite3sqlite3.c_sqlite3_db_mutex.c,7,7
extr_linuxdriversgpudrmvmwgfxdevice_includesvga3d_surfacedefs.h_svga3dsurface_is_dx_screen_target_format.c,22,22
extr_linuxdriversttytty_ioctl.c_tty_termios_copy_hw.c,30,30
extr_redisdepsluasrcloadlib.c_ll_unloadlib.c,5,5
extr_labenginecodeclientcl_cin.c_CIN_SetExtents.c,15,15
extr_linuxdriversatalibata-core.c_swap_buf_le16.c,6,6
extr_linuxdriversgpudrmmsmadrenoadreno_pm4.xml.h_CP_BLIT_1_SRC_X1.c,9,9
extr_linuxdriversblockdrbddrbd_int.h_drbd_md_first_sector.c,20,20
extr_linuxarchpowerpcplatformspowernv........driverspcipci.h_pci_proc_attach_device.c,6,6
extr_linuxarchpowerpckernel......driverspcipci.h_pci_iov_bus_range.c,6,6
extr_linuxdriversnetfddiskfpsmtdef.c_set_min_max.c,29,29
extr_FFmpeglibavcodechqxdsp.c_idct_row.c,156,156
extr_linuxdriverschartpmtpm_vtpm_proxy.c_vtpm_proxy_fops_open.c,12,12
extr_reactosbaseapplicationscalcfun_ieee.c_rpn_sign.c,14,14
extr_h2odepsklibbgzf.c_load_block_from_cache.c,7,7
extr_linuxdriversstagingrtlwifirtl8822behw.c__rtl8822be_get_vht_en.c,22,22
extr_linuxtoolstestingselftestspowerpcptraceptrace-hwbreak.c_write_var.c,11,11
extr_linuxdriversvideofbdevtridentfb.c_is_blade.c,47,47
extr_linuxtoolsperfutilhist.c_he_stat__add_period.c,21,21
extr_linuxkerneleventscore.c_perf_register_guest_info_callbacks.c,8,8
extr_linuxdriversgpudrmamdamdgpusi_dpm.c_si_scale_power_for_smc.c,7,7
extr_reactosdllwin32urlmonuri.c_is_ascii.c,9,9
extr_linuxdriversnetwirelessathath5kphy.c_ath5k_get_interpolated_value.c,16,16
extr_linuxdriversscsibfabfa_fcbuild.c_fc_prli_parse.c,13,13
extr_linuxdriversmiscvmw_balloon.c_vmballoon_page_size.c,13,13
extr_linuxdriversnetethernetqlogicqedqed_spq.c_qed_spq_get_cid.c,13,13
extr_darwin-xnubsdnetnecp.c_necp_mark_packet_from_socket.c,22,22
extr_radare2librutilprint.c_issymbol.c,14,14
extr_obs-studiolibobsaudio-monitoringosx....graphicsvec2.h_vec2_zero.c,11,11
extr_linuxdriversnetwirelessbroadcomb43legacypio.h_b43legacy_pio_init.c,6,6
extr_hashcatsrcmodulesmodule_06231.c_module_init.c,203,203
extr_xhyvesrcvmmvmm.c_vm_atpic.c,7,7
extr_linuxnetbluetoothl2cap_core.c___l2cap_efs_supported.c,15,15
extr_reactosdlldirectxwinewined3dati_fragment_shader.c_debug_register.c,14,14
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_beq_w18_Slot_xt_flix64_slot3_encode.c,9,9
extr_linuxnetdsalegacy.c_dsa_of_probe.c,6,6
extr_linuxdriversnetwirelessathath9kcommon-debug.h_ath9k_cmn_debug_recv.c,6,6
extr_linuxdriversgpudrmmsmadrenoa4xx.xml.h_A4XX_SP_VS_CTRL_REG0_HALFREGFOOTPRINT.c,9,9
extr_linuxdriverspinctrlmediatek..pinconf.h_pinconf_generic_dump_config.c,7,7
extr_curllibprogress.c_Curl_pgrsSetDownloadSize.c,16,16
extr_kittyglfwwl_window.c__glfwPlatformWindowOccluded.c,6,6
extr_linuxdriversgpudrmmsmadrenoadreno_pm4.xml.h_CP_BLIT_4_DST_X2.c,9,9
extr_emscriptensystemlibpthreadlibrary_pthread_stub.c_pthread_mutex_lock.c,6,6
extr_wcdbrepairsqliterk_os.c_sqliterkOSRegister.c,8,8
extr_linuxdriversmediausbtm6000tm6000-stds.c_tm6000_get_std_res.c,14,14
extr_darwin-xnuosfmkprofilingprofile-mk.c_gprofopen.c,11,11
extr_linuxdriverspcipci.h_pcie_aspm_create_sysfs_dev_files.c,5,5
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_ioctl_rtl.c_oid_rt_current_tx_power_level_hdl.c,11,11
extr_radare2librasmarchtms320c55x_plushashtable.c_get_hashfunc_37.c,18,18
extr_linuxdriversstagingiioadcad7192.c_ad7192_get_temp_scale.c,10,10
extr_hashcatsrcmodulesmodule_11800.c_module_init.c,203,203
extr_php-srcextcom_dotnetcom_saproxy.c_saproxy_objects_compare.c,7,7
extr_linuxfsocfs2ocfs2.h_ocfs2_supports_inline_data.c,12,12
extr_reactosdriversfilesystemsext2srcext4ext4_xattr.c_ext4_xattr_block_space.c,8,8
extr_reactosmodulesrosappsapplicationssysutilsutilspicemoduleutils.c_PICE_toupper.c,10,10
extr_linuxdriversnetethernetmarvellmvneta.c_mvneta_rx_csum.c,16,16
extr_gitxdiffxutils.c_xdl_num_out.c,70,164
extr_linuxdriversgpudrmgma500oaktrail_crtc.c_mrst_lvds_clock.c,16,16
